,Status,AFP,APOBEC3A,ART3,CCL7,CXCL10,CXCL9,DNAH7,GRID2,HTR3A,KRT78,LAMP3,MYLK2,PGBD5,POTEKP,RAET1L,SLC28A2,SOX11,SPHK1,TH,TMEM171,TNRC18P1,TREM1,TTC6,UGT2B15,VRTN
Sample241,1,3.906890596,6.714245518,7.321928095,4.321928095,9.392317423,9.647458426,6.539158811,0,5.285402219,0,7.977279923,6.832890014,9.769837844,8.071462363,10.52747701,4.906890596,8.918863237,11.21856324,7.614709844,8.392317423,5.044394119,8.154818109,5.554588852,1,5.169925001
Sample242,1,0,10.2467406,7.076815597,9.843921051,12.40992124,10.63571812,6.392317423,6.06608919,7.851749041,0,10.34540525,6.794415866,10.21067134,0,8.933690655,1,8.417852515,9.394462695,6.523561956,6.87036472,1,7.942514505,3.700439718,0,10.29920802
Sample243,1,4.459431619,8.625708843,6.672425342,9.791162889,12.17086395,4.64385619,4.807354922,0,9.911391988,6.882643049,11.268542,8.124121312,9.319672121,8.8008999,9.147204925,5.321928095,9.905387005,9.972979786,5.584962501,8.276124405,3.906890596,8.74819285,6.807354922,1,8.442943496
Sample244,1,4.523561956,8.962896005,10.29806257,10.56700537,12.26678654,10.16741815,6.781359714,6,3.807354922,8.103287808,12.36741475,6.988684687,11.00140819,9.074141463,8.257387843,8.357552005,9.824958741,9.936637939,7.857980995,7.499845887,4.247927513,8.459431619,4.523561956,3.321928095,6.965784285
Sample245,1,1,9.505811554,4.754887502,8.299208018,12.96090695,12.77951418,6.882643049,0,6.209453366,6.303780748,11.30149619,7.011227255,9.511752654,7.942514505,8.654636029,5.977279923,11.12282799,9.216745858,0,6.475733431,6.087462841,8.22881869,5.392317423,0,0
Sample246,1,4.700439718,7.21916852,6.741466986,7.209453366,11.73724734,9.992938336,5.930737338,0,4.169925001,6.357552005,9.861086906,6.285402219,7.906890596,7.139551352,6.614709844,0,10.18858885,10.72109919,4.906890596,6.044394119,4.754887502,7.539158811,3.584962501,0,1
Sample247,1,5.285402219,7.761551232,4.857980995,9.513727596,12.41045135,11.33650656,7.339850003,5.459431619,9.35974956,9.481799432,10.37612539,6.930737338,10.4655664,1,10.18982456,6.022367813,11.06406908,9.99859043,0,6.584962501,5.392317423,9.06608919,9.098032083,8.17990909,0
Sample248,1,0,7.312882955,7.577428828,6.857980995,11.27903014,9.259743264,7.960001932,5.087462841,1,5.807354922,9.465566405,7.076815597,9.73809226,7.977279923,8.721099189,0,10.57648435,8.388017285,5.285402219,9.250298418,5.491853096,8.082149041,5.129283017,1,5.754887502
Sample249,1,8.199672345,5.832890014,4.700439718,0,10.50481899,11.51323411,7.700439718,5.392317423,4.087462841,1,6.727920455,1,5.357552005,8.022367813,0,6.95419631,10.91960824,8.74819285,6.672425342,5.554588852,7.06608919,4.459431619,9.184875343,3,1
Sample250,1,0,6.906890596,5.554588852,5.087462841,9.285402219,7.832890014,6.247927513,9.856425529,1,5.95419631,7.826548487,6.247927513,6.857980995,8.696967526,4.95419631,0,11.4003458,9.945443836,8.611024797,6.285402219,5,7.303780748,5.044394119,0,1
Sample251,1,0,7.357552005,11.25443815,4.95419631,14.21363586,13.99841414,7.741466986,5.491853096,4.807354922,8.54303182,9.962896005,8.164906927,10.38046107,8.77478706,4.857980995,6.539158811,10.64745843,10.39231742,0,8.17990909,5.044394119,7.139551352,4.321928095,2.807354922,9.487840034
Sample252,1,0,7.982993575,12.74251997,7.238404739,10.82654849,11.57837269,7.459431619,1,6.882643049,6.820178962,8.285402219,6.930737338,12.13891172,7.839203788,10.39339046,6.686500527,10.13185696,12.86263736,10.5574637,6.06608919,6.06608919,9.28077077,4.700439718,1,10.67683861
Sample253,1,0,7,10.77396337,7.044394119,11.58824615,11.59525748,7.442943496,0,8.06608919,7.06608919,9.449148645,5.977279923,9.407267764,8.566054038,8.77807713,5.321928095,7.584962501,9.422064766,5.832890014,4.700439718,4.700439718,6.658211483,0,2.807354922,6.754887502
Sample254,1,3.459431619,5.209453366,1,0,9.257387843,7.77478706,6.247927513,4.247927513,1,5.357552005,8.082149041,5.781359714,8.475733431,6.554588852,6.209453366,0,5.754887502,8.693486957,1,9.805743872,4.700439718,6.50779464,4.584962501,1,4.584962501
Sample255,1,0,10.01122726,13.66099865,10.08480839,14.09399519,14.65211672,7.022367813,1,4.906890596,7.409390936,10.65642486,7.622051819,10.16616308,8.758223215,7.727920455,0,8.523561956,10.43045255,5.426264755,7.562242424,5.672425342,8.022367813,6,0,1
Sample256,1,4.64385619,10.51569984,9.483815777,7.339850003,13.90773568,13.33063682,7.098032083,5.491853096,6.209453366,8.049848549,10.27496047,7.936637939,7.761551232,8.781359714,10.06608919,6.930737338,11.54930337,12.50034397,8.379378367,6.189824559,6.087462841,8.396604781,6.303780748,1,6.339850003
Sample257,1,3.459431619,0,2,4.247927513,7.118941073,5.832890014,5.584962501,4.64385619,1,5.285402219,4.807354922,7.523561956,6.266786541,7.714245518,1,5.727920455,7.900866808,11.59245704,6.599912842,6.189824559,4.169925001,5.523561956,5.781359714,3.584962501,0
Sample258,1,1,7.714245518,12.46709603,9.77807713,16.15475879,8.076815597,6.942514505,0,10.77148947,6.022367813,8.471675214,7.451211112,8.558420713,11.00140819,7.357552005,6.794415866,10.84235034,11.60455323,7.614709844,11.23182118,7.400879436,8.86727874,6.614709844,0,1
Sample259,1,1,6.700439718,7.475733431,6.569855608,10.38262403,8.495855027,5.523561956,0,3.584962501,8.463524373,6.614709844,6.554588852,9.670656249,7.813781191,7.129283017,5.426264755,9.77148947,9.413627929,1,5.129283017,4.906890596,8.129283017,4.95419631,3.584962501,6.569855608
Sample260,0,7.055282436,5.087462841,3.321928095,1,7.06608919,7.483815777,7.741466986,0,1,4.64385619,7.108524457,3.906890596,6.022367813,9.717676423,4.169925001,6.087462841,6.321928095,8.033423002,4.087462841,3.321928095,6.266786541,4.459431619,7.357552005,5.044394119,1
Sample261,0,8.383704292,5.169925001,3.584962501,0,6.22881869,5.64385619,6.807354922,4.700439718,0,6.303780748,5.857980995,0,4.95419631,10.49085088,6.321928095,5.781359714,5.285402219,8.184875343,5.357552005,0,6.409390936,4.087462841,6.754887502,7.426264755,0
Sample262,0,1,5.523561956,3.700439718,0,6.539158811,7.247927513,4.321928095,3.906890596,3.459431619,1,3.321928095,1,5.727920455,6.087462841,0,4.64385619,0,5.882643049,3.584962501,3.459431619,3,5.321928095,1,0,0
Sample263,0,9.751544059,5.044394119,4.754887502,1,6.845490051,7.266786541,7.936637939,5.614709844,1,0,6.50779464,5.129283017,5.857980995,11.9505559,3.459431619,6.14974712,5.906890596,8.640244936,4.459431619,4.584962501,8.209453366,4.906890596,8.903881846,7.312882955,1
Sample264,0,6.882643049,6.169925001,7.994353437,0,9.552669098,9.544964433,7.451211112,6.409390936,4.95419631,1,7.321928095,4.321928095,6.169925001,11.99717948,5.169925001,4.807354922,6.189824559,9.370687407,4.459431619,4.584962501,7.129283017,6.209453366,8.303780748,6.700439718,0
Sample265,0,8.810571635,5.781359714,4.95419631,1,6.942514505,6.820178962,7.924812504,8.103287808,4.95419631,0,7.033423002,4.321928095,6.658211483,11.91214086,6.247927513,6.442943496,7.409390936,8.731319031,1,1,7.312882955,5.700439718,9.068778278,9.955649908,0
Sample266,0,4.087462841,4.807354922,3.584962501,3.807354922,5.672425342,6.357552005,5.044394119,1,1,5.087462841,4.95419631,4,5.554588852,6.22881869,4.247927513,5.321928095,2.584962501,7.21916852,3.700439718,1,3.906890596,5.392317423,3.906890596,2.584962501,0
Sample267,0,9.4325419,1,2.584962501,0,6.906890596,7.139551352,6.95419631,0,3.906890596,0,6.392317423,0,5.906890596,9.917372079,3.321928095,5.392317423,5.044394119,8.727920455,6.727920455,5.700439718,7.754887502,6.14974712,8,4.95419631,0
Sample268,0,6.894817763,4.906890596,3.459431619,4.247927513,10.2179577,10.07414146,8.071462363,1,4,5.882643049,7.820178962,5.129283017,6.022367813,12.51791539,5.491853096,6.266786541,7.658211483,9.21916852,4.95419631,4.459431619,7.515699838,5.169925001,8.906890596,10.41679753,1
Sample269,0,3.459431619,6.266786541,5.554588852,0,6.22881869,7.942514505,4.64385619,4.392317423,4.584962501,0,3,0,6.459431619,6.321928095,0,5.087462841,4.169925001,6.714245518,3.700439718,3.584962501,3.906890596,5.392317423,1,0,0
Sample270,0,6.584962501,5.087462841,4.754887502,1,7.312882955,8.113742166,7.348728154,6.392317423,3.807354922,4.64385619,7.189824559,3.906890596,5.781359714,9.383704292,4.169925001,6.108524457,7.400879436,8.169925001,4.169925001,5.491853096,5.523561956,5.209453366,7.266786541,6.14974712,0
Sample271,0,5.554588852,6.569855608,7.936637939,0,5.906890596,6.247927513,5.087462841,4.169925001,3.700439718,0,4.392317423,5.357552005,4.807354922,8.87958325,1,4.169925001,2,8.011227255,4.169925001,1,4.807354922,5.700439718,5.169925001,0,7.607330314
Sample272,0,5.554588852,8.930737338,5.357552005,1,7.948367232,7.658211483,7.348728154,4.459431619,4.807354922,1,6.539158811,5.977279923,5.672425342,11.09209641,3.321928095,6.459431619,4.95419631,7.851749041,4.459431619,3.700439718,6.339850003,8.071462363,7.199672345,7.330916878,1
Sample273,0,8.321928095,5.930737338,3.700439718,0,6.459431619,6.108524457,6.285402219,1,4.807354922,0,5.584962501,4,5,11.04439412,5.392317423,5.727920455,4.754887502,8.927777962,5.129283017,3.321928095,5.832890014,6.539158811,7.011227255,8.233619677,0
Sample274,0,3,4.321928095,2.807354922,0,6.22881869,7.73470962,5.392317423,4.906890596,3.906890596,0,5.672425342,0,5.087462841,7.787902559,0,3.906890596,3.169925001,6.169925001,3.700439718,4.247927513,3.700439718,4.087462841,5.169925001,6.108524457,0
Sample275,0,7.693486957,7.607330314,3.807354922,1,7.839203788,7.942514505,6.794415866,4.584962501,5.584962501,0,5.977279923,4.321928095,7.303780748,10.60547952,6.523561956,6.321928095,6.022367813,8.392317423,4.247927513,0,7.577428828,7.50779464,7.577428828,6.044394119,0
Sample276,0,5.930737338,5.392317423,3.700439718,0,8.50779464,10.20823436,7.285402219,5.357552005,8.092757141,4.906890596,7.033423002,4.169925001,5.727920455,11.26209485,3.321928095,8.430452552,6.459431619,8.599912842,5.321928095,5.554588852,6.62935662,6.614709844,7.515699838,7.303780748,5.044394119
Sample277,0,11.08812569,6.845490051,3.321928095,0,10.02375435,10.07414146,8.483815777,7.076815597,5.491853096,5.554588852,8.804131021,5.129283017,7.17990909,12.58613609,5.247927513,8.174925683,6.857980995,9.14974712,5,4.523561956,7.46760555,4.64385619,9.789533645,11.88149638,0
Sample278,0,7.74819285,4.459431619,4.95419631,4.392317423,9.087462841,8.903881846,7.622051819,4.857980995,4.169925001,0,6.044394119,1,5.95419631,10.75905594,3.321928095,5.584962501,5.807354922,8.483815777,4.247927513,4.169925001,7.14974712,4.169925001,7.8008999,5.781359714,1
Sample279,0,6.807354922,6.426264755,4.64385619,1,8.426264755,8.625708843,7.303780748,5.727920455,3.906890596,1,7.417852515,5.781359714,6.491853096,10.63481105,7.044394119,5.044394119,6.882643049,9.921840937,5.285402219,4.392317423,6.894817763,7.988684687,7.707359132,7.169925001,0
Sample280,0,6.14974712,4.087462841,3.584962501,0,8.087462841,8.8008999,7.727920455,1,4.169925001,4.857980995,7.499845887,1,6.392317423,11.3858624,6.044394119,6.523561956,5.64385619,8.689997971,1,5.357552005,7.375039431,4,8.14974712,6.087462841,0
Sample281,0,7.400879436,6.599912842,4.700439718,0,8.027905997,8.129283017,8.06608919,5.087462841,4,6.321928095,8.366322214,5.426264755,7.741466986,12.75238065,5.285402219,5.700439718,7.011227255,9.202123824,6.700439718,4.247927513,7.475733431,5.781359714,8.45532722,8.592457037,0
Sample282,0,5.044394119,4.584962501,2.584962501,0,7.118941073,7.285402219,6.321928095,5.906890596,0,0,5.247927513,1,5.357552005,7.672425342,4.523561956,4.459431619,5.357552005,8.033423002,3.906890596,3.584962501,5.614709844,4.857980995,6.539158811,5.321928095,1
Sample283,0,6.022367813,5.169925001,3.459431619,0,6.977279923,7.554588852,7.321928095,0,3.700439718,5.321928095,6.426264755,3.807354922,6.108524457,11.02928723,3.321928095,5.614709844,5.906890596,7.918863237,4.087462841,4.321928095,6.392317423,3.906890596,7.554588852,5.523561956,4.754887502
Sample284,0,9.361943774,5.781359714,4.807354922,0,8.971543554,8.764871591,8.071462363,4.807354922,1,6,7.129283017,1,5.426264755,11.55698496,4.247927513,6.169925001,5.882643049,8.6794801,5.321928095,3.700439718,8.108524457,4.247927513,9.108524457,7.357552005,0
Sample285,0,7.033423002,6.06608919,8.159871337,4.321928095,10.99364606,12.76445696,7.651051691,5.285402219,8.640244936,1,10.39660478,5.727920455,8.335390355,9.487840034,6.714245518,6.614709844,8.584962501,9.350939182,0,4.700439718,6.768184325,6.108524457,7.266786541,2.807354922,6.64385619
Sample286,0,7.607330314,4.857980995,4.807354922,1,8.603626345,8.826548487,8.842350343,8.569855608,4,5.857980995,6.209453366,0,5.459431619,13.67021364,5.392317423,6.906890596,6.599912842,8.794415866,6.108524457,4.64385619,9.121533517,4.459431619,9.036173613,10.03754695,0
Sample287,0,7.169925001,5.321928095,3.321928095,1,6.700439718,7.46760555,6.14974712,4.807354922,5.087462841,0,6.569855608,4.584962501,5.584962501,9.019590728,1,5.285402219,7.266786541,9.321928095,4.169925001,3.321928095,5.459431619,5.857980995,6.599912842,5.491853096,0
Sample288,0,3.584962501,5.209453366,3.906890596,5.727920455,7.238404739,8.392317423,5.614709844,4.857980995,0,0,4.247927513,3.584962501,4.459431619,7.754887502,1,4.906890596,0,7.330916878,1,4.087462841,4.392317423,6.554588852,3.584962501,0,0
Sample289,0,3,6.727920455,3,0,8.523561956,6.794415866,4.807354922,1,1,0,5,3.321928095,5.700439718,7.6794801,1,5.209453366,1,5.857980995,3.700439718,3.169925001,3.321928095,5.129283017,3,0,0
Sample290,0,8.204571144,5.584962501,4.087462841,4.087462841,9.465566405,9.731319031,7.339850003,5.554588852,3.906890596,5.614709844,6.14974712,4.459431619,5.906890596,10.05799172,4.459431619,4.700439718,6,8.845490051,4.700439718,4.247927513,7.781359714,5.491853096,8.044394119,5.727920455,0
Sample291,0,7.139551352,4.700439718,3.700439718,0,4.95419631,5.321928095,7.807354922,4.392317423,1,1,4.906890596,5.087462841,5.459431619,11.16050175,0,5.285402219,5.672425342,8.204571144,4.392317423,3.321928095,6.845490051,0,7.73470962,5.044394119,1
Sample292,0,4.584962501,5,4.087462841,0,7.499845887,6.50779464,6.714245518,1,3.700439718,0,6.807354922,3.700439718,4.95419631,10.17367714,3.321928095,0,3.807354922,7.714245518,4,4.459431619,6.022367813,3.321928095,6.62935662,8.098032083,0
Sample293,0,0,6.658211483,4.247927513,0,9.948367232,9.35974956,7.098032083,6.209453366,6.375039431,0,8.566054038,5.727920455,6.022367813,8.829722735,4.754887502,5.930737338,6.700439718,8.927777962,4.321928095,4.392317423,5,5.857980995,6.189824559,3.700439718,0
Sample294,0,6.554588852,8.044394119,4.169925001,1,8.882643049,7.826548487,7.515699838,6.14974712,1,0,6.442943496,4.321928095,5.426264755,11.96434087,3.321928095,6.339850003,6.14974712,8.330916878,4.247927513,4.392317423,7.357552005,7.285402219,7.813781191,6.087462841,0
Sample295,0,6.942514505,5.426264755,3.321928095,0,7.17990909,7.011227255,7.189824559,0,4.754887502,0,5.584962501,5,5.584962501,9.415741768,4.392317423,5.209453366,4.700439718,8.523561956,4.087462841,4.169925001,7.118941073,4.459431619,7.577428828,5.523561956,0
Sample296,0,9.97441459,4.906890596,3.700439718,0,7.54689446,6.554588852,7.807354922,4.754887502,3.906890596,4.95419631,6.129283017,0,5.321928095,12.28569119,3.700439718,6.247927513,6.539158811,8.861086906,5.247927513,3.700439718,7.375039431,4.584962501,8.335390355,7.499845887,0
Sample297,0,9.292321633,4.807354922,4.754887502,0,6.741466986,8.503825738,7.721099189,7.988684687,4,0,6.807354922,0,7.294620749,11.6635581,5.459431619,5.672425342,6.06608919,8.906890596,0,3.459431619,7.700439718,3.459431619,9.226412193,9.914385132,1
Sample298,0,5.169925001,5.614709844,3.584962501,0,6.768184325,9.22881869,6.06608919,6.22881869,0,0,4.523561956,0,6.108524457,8.62935662,0,5.754887502,2.321928095,5.672425342,0,1,5,5.857980995,5.247927513,3.807354922,0
Sample299,0,6.741466986,4.857980995,4.087462841,1,7.813781191,6.794415866,7.813781191,1,1,4.857980995,7.022367813,5.247927513,6.22881869,12.46326892,5,6.62935662,4.906890596,8.957102042,5.129283017,5.392317423,7.686500527,5.700439718,8.154818109,7.21916852,1
Sample300,0,8.503825738,4.523561956,0,0,6.459431619,8.199672345,6.857980995,5.781359714,3.906890596,7.044394119,7.357552005,0,5.64385619,10.38154295,5.754887502,1,8.471675214,9.396604781,5.044394119,4.700439718,6.209453366,3.459431619,7.562242424,7.882643049,5.321928095
Sample301,0,6.768184325,4.459431619,4.169925001,0,7.139551352,6.554588852,7.95419631,4.584962501,1,0,6.820178962,1,5.523561956,12.32108252,4.584962501,0,6.965784285,8.588714636,5.95419631,4.169925001,6.857980995,2.584962501,8.388017285,6.044394119,1
Sample302,0,6.727920455,5.169925001,3.584962501,0,6.247927513,6.614709844,7.266786541,4.247927513,1,0,5.614709844,0,4.584962501,9.002815016,3.321928095,5.95419631,4.857980995,7.409390936,0,3.321928095,6.303780748,3.169925001,7.451211112,3.169925001,0
Sample303,0,7.14974712,4.584962501,3.321928095,1,8.22881869,9.33315535,6.741466986,5.584962501,3.906890596,6.523561956,7.033423002,5.087462841,6.714245518,11.1382718,4.459431619,8.930737338,5.882643049,8.791162889,7.108524457,6.189824559,9.562242424,4.754887502,7.475733431,4.906890596,0
Sample304,0,6.357552005,6.357552005,3.807354922,4.392317423,8.312882955,8.388017285,7.339850003,5.285402219,3.807354922,1,7.686500527,1,6.50779464,11.66088727,5.129283017,5.357552005,5.357552005,8.519636253,4.584962501,3.321928095,6.894817763,6.169925001,7.781359714,8.044394119,0
Sample305,0,4.087462841,5.95419631,4.321928095,6.14974712,9.987264012,8.832890014,5.087462841,0,4.087462841,6.087462841,4.807354922,1,4.807354922,6.62935662,0,5.087462841,2,6.977279923,1,3.584962501,3,7,0,0,0
Sample306,0,7.754887502,6.129283017,4.584962501,0,7.741466986,8.317412614,8.64385619,4.857980995,4,1,6.339850003,4.392317423,6.475733431,12.31571566,4.64385619,7.21916852,7.426264755,9.095397023,1,5,8.113742166,4.523561956,9.645658432,8.584962501,6.209453366
Sample307,0,7.383704292,8.022367813,5.169925001,5.523561956,11.54351522,12.27058734,8.038918989,6.247927513,4.169925001,5.426264755,10.29576893,5.044394119,6.672425342,10.65999589,3.459431619,6.022367813,4.807354922,8.851749041,4.906890596,4.700439718,7.321928095,4.523561956,8.370687407,6.339850003,0
Sample308,0,5.977279923,4.95419631,3.169925001,1,7.727920455,7.129283017,7.888743249,5.727920455,5.523561956,5.523561956,6.554588852,4.087462841,5.169925001,12.7807448,6.044394119,5.247927513,6.614709844,8.463524373,5.882643049,4.169925001,7.569855608,5.459431619,8.139551352,8.438791853,1
Sample309,0,8.016808288,6.266786541,4.321928095,0,7.459431619,8.727920455,6.523561956,1,3.807354922,0,6.303780748,6.491853096,4.584962501,8.826548487,5.209453366,4.459431619,5.832890014,8.055282436,4.169925001,3.321928095,5.584962501,6.209453366,7.988684687,5.209453366,0
Sample310,0,6.977279923,6.672425342,4.247927513,5.129283017,8.451211112,10.36413466,7,5.523561956,1,0,6.988684687,5.357552005,5.930737338,9.247927513,3.321928095,6.409390936,5.754887502,8.861086906,4.64385619,4.169925001,7.06608919,5.285402219,7.257387843,5,0
Sample311,0,7.357552005,4.700439718,4.169925001,0,5.321928095,5.614709844,7.971543554,4.95419631,1,0,6.129283017,0,6.044394119,11.14274528,5.754887502,5.882643049,4.169925001,9.092757141,5.209453366,4.700439718,8.159871337,4.392317423,9.055282436,7.276124405,0
Sample312,0,9.804131021,5.584962501,3.321928095,0,7.266786541,7.523561956,6.977279923,5.357552005,3.906890596,7.459431619,6.129283017,1,6.357552005,10.79360331,6.06608919,5.321928095,7.098032083,9.049848549,4.64385619,4.392317423,6.108524457,4.95419631,7.700439718,2.584962501,0
Sample313,0,7.622051819,5.044394119,5.321928095,0,8.573647187,8.84862294,8.285402219,5.584962501,4.247927513,5.64385619,7.845490051,4.857980995,6.108524457,11.25856603,3.700439718,6.044394119,6.087462841,8.882643049,4.459431619,4.392317423,8.569855608,4.087462841,8.527477006,6.832890014,0
Sample314,0,6.832890014,6.882643049,4.754887502,1,6.672425342,7.118941073,6.672425342,6.108524457,0,0,6.022367813,0,5.832890014,9.319672121,4.700439718,5.882643049,5.129283017,7.807354922,4.087462841,5.247927513,7.139551352,6.285402219,7.982993575,5.392317423,0
Sample315,0,6.700439718,6.303780748,5.247927513,5.95419631,10.29691621,9.257387843,8.038918989,9.098032083,5.087462841,0,7.614709844,4.247927513,5.554588852,11.25384748,6.87036472,5.523561956,5.285402219,8.442943496,4.459431619,3.700439718,7.348728154,7.238404739,8.527477006,6.584962501,0
Sample316,0,6.977279923,7.199672345,3.584962501,4.087462841,6.930737338,5.169925001,6.918863237,4.700439718,3.906890596,4.906890596,5.491853096,5.672425342,6.129283017,10.67419227,6.942514505,0,5.285402219,10.02375435,5.614709844,4.392317423,6.930737338,6.554588852,7.46760555,7.569855608,5.044394119
Sample317,0,6.686500527,7.491853096,5.087462841,4.087462841,9.071462363,9.533329732,6.686500527,6.169925001,3.807354922,0,6.845490051,1,6.14974712,9.636624621,3.700439718,4.584962501,4.247927513,8.392317423,4.584962501,1,7.294620749,5.247927513,7.87036472,5.64385619,0
Sample318,0,7.266786541,4.857980995,2.807354922,0,6.539158811,6.491853096,6.64385619,5.754887502,1,0,5.882643049,3.906890596,5.459431619,9.103287808,4.169925001,4.392317423,5.781359714,8.361943774,1,3.321928095,5.977279923,4.321928095,7.451211112,8.055282436,4.754887502
Sample319,0,6,4.392317423,3.807354922,3.906890596,6.392317423,7.339850003,5.882643049,6.584962501,3.584962501,0,5.321928095,4.169925001,5,8.118941073,3.321928095,4.754887502,3.321928095,7.584962501,4.169925001,3.169925001,5.357552005,6.475733431,6.06608919,3.169925001,0
Sample320,0,7.475733431,6.339850003,3.321928095,5.882643049,8.027905997,8.900866808,6.523561956,1,5.754887502,6.426264755,6.714245518,4,6,10.16490693,6.303780748,5.857980995,5.523561956,8.636624621,4.906890596,5.357552005,7.64385619,6.554588852,7.276124405,4.169925001,1
Sample321,0,6,6.285402219,3.459431619,5.247927513,6.700439718,6.442943496,7.357552005,6.285402219,3.807354922,0,6.189824559,1,6.22881869,8.28077077,3.321928095,5.087462841,6.442943496,9.030667136,4.169925001,4.169925001,7.022367813,6.357552005,6.672425342,3.584962501,4.807354922
Sample322,0,3.584962501,5.169925001,3.906890596,0,5.459431619,7.055282436,3.584962501,0,3.906890596,0,3.321928095,3.459431619,4.321928095,6.303780748,1,5.554588852,0,7.924812504,3.700439718,4.247927513,1,4.523561956,0,0,0
Sample323,0,3.169925001,7.491853096,4.459431619,1,8.317412614,10.23959853,5.672425342,4.700439718,3.700439718,0,4.584962501,3.807354922,5.930737338,6.727920455,0,5.614709844,2.807354922,6.807354922,4.392317423,3.584962501,4.459431619,6.044394119,3,0,4.754887502
Sample324,0,5.392317423,6.375039431,4.459431619,1,9.862637358,9.592457037,7.839203788,5.491853096,6.442943496,5.044394119,8.438791853,5.523561956,7.189824559,11.85174904,5.614709844,6.108524457,6.845490051,9.396604781,6.06608919,6.044394119,7.17990909,6.339850003,7.761551232,8.252665432,0
Sample325,0,9.829722735,5.754887502,3.321928095,1,7.851749041,8.54689446,7.851749041,1,3.906890596,0,7.011227255,0,6.339850003,11.14911199,4.247927513,5.95419631,4.247927513,8.50779464,0,6.672425342,7.982993575,4.523561956,8.409390936,5.129283017,1
Sample326,0,4.807354922,5.129283017,3.906890596,0,7.366322214,7.95419631,6.741466986,4.523561956,4.169925001,0,7,1,6.491853096,9.477758266,5.554588852,4.754887502,5.906890596,9.177419538,4.169925001,1,5.857980995,6.22881869,6.599912842,5.459431619,1
Sample327,0,11.01262454,6.14974712,5.129283017,4.321928095,6.807354922,6.906890596,9.057991723,8.661778098,4.523561956,5.491853096,5.95419631,5.554588852,5.700439718,13.8477425,4.584962501,7.971543554,6.339850003,9.105908509,5.614709844,3.459431619,8.30833903,6.475733431,10.22037833,11.54930337,5.64385619
Sample328,0,4.247927513,5.321928095,3.584962501,3.906890596,7.794415866,7.924812504,6.714245518,1,1,0,6.375039431,4.700439718,5.321928095,8.523561956,1,5.357552005,3.807354922,8.06608919,0,0,5.209453366,7.515699838,6.599912842,3.584962501,0
Sample329,0,6.523561956,4.95419631,4.459431619,1,11.47522678,11.24019505,8.214319121,6,5.807354922,5.95419631,9.513727596,1,6,11.86302471,4.857980995,6.426264755,7.276124405,9.350939182,4.754887502,5.169925001,7.686500527,5.357552005,8.233619677,7.845490051,0
Sample330,0,4.754887502,5.906890596,4.64385619,5.129283017,7.665335917,8.581200582,6.768184325,5.285402219,3.700439718,0,6.266786541,0,5.087462841,8.982993575,0,6.22881869,3.459431619,7.247927513,0,0,4.392317423,5.554588852,5.977279923,5.087462841,0
Sample331,0,7.118941073,6.409390936,3.321928095,0,5.95419631,5.95419631,6.768184325,0,5.491853096,4.754887502,5.832890014,0,6.22881869,10.14082977,5.426264755,5.584962501,7.383704292,9.187352073,5.832890014,4.95419631,7,2.584962501,6.930737338,8.651051691,0
Sample332,0,6.392317423,6.285402219,3.584962501,0,5.357552005,6.539158811,6.62935662,4.754887502,4.087462841,0,5.357552005,3.906890596,5.64385619,12.45558409,4.392317423,5.906890596,6,7.614709844,4.169925001,1,7.531381461,5.95419631,8.027905997,5.727920455,0
Sample333,0,3.169925001,7.442943496,3.700439718,3.807354922,7.076815597,8.426264755,5.426264755,0,0,1,5,3.584962501,5.392317423,0,1,5.459431619,2,6.539158811,0,3.169925001,3.584962501,7.285402219,3.807354922,3,0
Sample334,0,7.044394119,5.832890014,4.459431619,0,7.247927513,6.832890014,6.930737338,5.392317423,0,6.409390936,6.523561956,1,6.686500527,10.43983088,5.321928095,4.523561956,6.459431619,8.997179481,5.044394119,4.392317423,6.392317423,6.22881869,7.451211112,6.894817763,0
Sample335,0,6.95419631,4.754887502,4.523561956,0,6.62935662,6.409390936,7.276124405,5.523561956,3.807354922,4.754887502,6.658211483,4,6.475733431,10.09011242,3.700439718,4.807354922,6.700439718,8.832890014,1,4.392317423,7.409390936,4.754887502,7.658211483,7.73470962,0
Sample336,0,6.988684687,3.807354922,4.247927513,0,8.027905997,8.668884984,7.339850003,1,7.06608919,0,7.977279923,0,5.700439718,10.34983409,4.459431619,5.906890596,6.614709844,9.62388149,4.392317423,7.375039431,6.554588852,3.584962501,7.700439718,7.622051819,5.044394119
Sample337,0,7.6794801,6.832890014,4,0,8.17990909,7.651051691,7.087462841,4.64385619,5.614709844,6.95419631,7.139551352,0,5.930737338,8.820178962,6.044394119,5.392317423,7.14974712,9.330916878,5.129283017,3.321928095,7.348728154,7.022367813,7.383704292,5.700439718,0
Sample338,0,0,4.584962501,3.459431619,0,4.857980995,6.882643049,4.247927513,4.321928095,0,1,2.807354922,3.321928095,4.754887502,6.247927513,0,3.906890596,1,6.392317423,8.864186145,3.169925001,1,4.523561956,0,0,0
Sample339,0,8.154818109,6.087462841,3.169925001,6.807354922,8.169925001,9.273795599,7.238404739,1,4.169925001,0,6.988684687,4.087462841,6.357552005,9.927777962,3.700439718,6.108524457,6.087462841,8.438791853,4.321928095,3.700439718,6.409390936,5.614709844,7.807354922,6.965784285,0
